name,business_id,reviews/total,location/latitude,location/longitude,location/address,stars,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5
Filiberto's Mexican Rest,SbieCdRBz33V_Hl0sU8HFg,4,33.465883,-112.012448,"3218 E McDowell Rd
Phoenix, AZ 85008",3.5,,,,,,
Pink Pepper Thai Cusine,Nz_AasmpsQ8MLSqhCTRVoA,57,33.362719,-111.8761389,"1941 W Guadalupe
Mesa, AZ 85201",3.5,Thai,Buffets,Restaurants,,,
Hooters,cPIi_5tWZw04DmtyUBcFlg,12,33.385489,-111.686036,"6730 E Superstition Springs Blvd
Mesa, AZ 85206",2.5,Chicken Wings,Bars,Restaurants,Sports Bars,Nightlife,
Scottsdale Healthcare Osborn,Aq6lSh0dfAYMsLoJf17BJQ,14,33.488847,-111.923872,"7400 E Osborn Rd
Scottsdale, AZ 85251",4,Health & Medical,Hospitals,,,,
Waterfront Bar & Grill,jwWyx8gEIhUNzBzyDzWjmQ,3,33.85281,-112.2469831,"40202 N 87th Ave
Peoria, AZ 85383",1.5,American (New),Restaurants,,,,
Estrella Mountain Ranch Golf Club,z0dWiC4uFQTr9GBuVmui1g,5,33.3386028,-112.4319537,"11800 S Golf Club Dr
Buckeye, AZ 85326",4.5,Active Life,Golf,,,,
Paradise Melts,5rBkJdoV1Te38OHrhOF_Lg,4,33.4528292,-112.0685027,"Phoenix, AZ 85004",4.5,Sandwiches,Food Stands,Restaurants,,,
Andy's Shoe Shine,SvOkHoPPPM7MVT4yAKuHqg,4,33.449553,-112.075503,"114 W Adams St
Phoenix, AZ 85003",4.5,Local Services,Shoe Repair,,,,
San Tan $2.25 Cleaners,rZrqA3BJx7bxYMSybosU6g,5,33.25539,-111.62019,"21258 E Rittenhouse Rd
Ste 106
Queen Creek, AZ 85242",4.5,Local Services,Dry Cleaning & Laundry,,,,
Efes Turkish Cuisine,c-qtFVPutboIiJASZYrwuA,17,33.3634187,-111.9130595,"1701 E. Guadalupe Rd
Tempe, AZ 85283",3.5,Restaurants,Turkish,,,,
2 Men and A Pizza,qgXhs-oY900b-cqY1NIcOw,16,33.5945419,-111.88034,"9330 E Poinsettia Drive
Scottsdale, AZ 85260",3.5,Pizza,Restaurants,,,,
Doggie Doo's & Kitties Too Grooming,vtbGnxCCj2I9M9QoHXpoEw,7,33.662594,-112.030244,"19401 N Cave Creek Rd
Ste 4
Phoenix, AZ 85024",4.5,Pet Groomers,Pet Services,Pets,,,
China Max,KzZ5Zww9W0IBWm5S2loUmQ,8,33.3633375,-111.9112218,"6438 S McClintock Dr
Tempe, AZ 85283",3,Chinese,Restaurants,,,,
Beauty Secrets,8M-kD2tuE0-k6uEr_gdW9w,3,33.378231,-111.756744,"L'Mage Studios
3459 E Baseline Rd, Ste 15
Gilbert, AZ 85224",4.5,Skin Care,Day Spas,Eyelash Service,Beauty & Spas,,
Flat Tire Bike Shop,p9UUsIK1y3MbtS4aD0KsiA,5,33.832679,-111.9494514,"6149 E Cave Creek Rd
Cave Creek, AZ 85331",4.5,Sporting Goods,Bikes,Shopping,,,
TJ's Homestyle Restaurant,BNTw6sX6fDWe-pmyY1FeDA,36,33.4384287,-112.3410882,"310 N Dysart Rd
Avondale, AZ 85323",4,Breakfast & Brunch,American (Traditional),Restaurants,,,
Mimi's Cafe,-WZIxGXJHMGidZXRhKxP3w,35,33.678615,-111.9746066,"21001 N Tatum Blvd #88
Phoenix, AZ 85050",3,Breakfast & Brunch,American (Traditional),Restaurants,,,
Urban Campfire,jIW2XVWsuqjKOHFw9rTDhg,7,33.4220136,-111.9258172,"921 E University Dr
Tempe, AZ 85281",3.5,American (Traditional),Restaurants,,,,
Hibachi Grill & Supreme Buffet,ckZVnb6gF3PPVWkoVhAiEw,24,33.4876029,-112.0824895,"620 W Osborn Rd
Phoenix, AZ 85013",3,Buffets,Restaurants,,,,
Superpumper,DYIB5861KIUfH5soVkP1Lg,4,33.629241,-111.886767,"15752 N Frank Lloyd Wright B
Scottsdale, AZ 85260",4,Automotive,Gas & Service Stations,,,,
Sirens and Saints,xI6_E9ERSDEmgMYw1TeSrw,4,33.497003,-112.083887,"4206 N 7th Ave
Phoenix, AZ 85013",3.5,Women's Clothing,Fashion,Shopping,,,
Five Guys Burgers and Fries,MpohnCC0uQNj7DZWaBFSgQ,25,33.4474542,-112.0745395,"50 W Jefferson St
Ste 180
Phoenix, AZ 85003",3.5,Burgers,Restaurants,,,,
Impact Printing Services,0PRRN8ncFFIY4nPIbmbqbQ,6,33.5227221,-112.0649884,"5821 N 7th St
Phoenix, AZ 85014",5,Local Services,Printing Services,,,,
Sprouts Farmers Market,SvhXjMn91ODnzkjjZY7j6A,7,33.583255,-112.169593,"5130 W Peoria Ave
Glendale, AZ 85302",4,Food,Health Markets,Grocery,Specialty Food,,
Just Smiles,1eCvpgvB4QA-0fSwb8-5Dw,5,33.5806325,-111.9290581,"7054 E Cochise Rd
Scottsdale, AZ 85253",5,Health & Medical,Dentists,General Dentistry,Cosmetic Dentists,,
Jimmy John's,hVKTsUaaJkOKR9v5BY04_A,26,33.449188,-112.0772,"11 W Washington St
Ste 175
Phoenix, AZ 85003",3,Sandwiches,Restaurants,,,,
Harvey's Wineburger,ntJAKLAq0cXzzdFgPoo0Iw,50,33.5079352,-112.0477237,"4812 N 16th St
Phoenix, AZ 85016",3.5,Burgers,Bars,Nightlife,Restaurants,,
Swensen's Grill &  Ice Cream Parlor,WoJrHOtrQ5R4jx80GwlnxA,24,33.5815498715,-112.1220526099,"10450 N 28th Dr
Phoenix, AZ 85051",3,Food,Ice Cream & Frozen Yogurt,American (Traditional),Restaurants,,
European Wax Center,pjW7mFHc2uvQ1Dgx5HFQ4Q,6,33.7129653,-112.1117276,"2330 W Happy Valley Rd
Ste 1024
Phoenix, AZ 85085",4.5,Hair Removal,Beauty & Spas,,,,
Black Angus Steakhouse,3X081wewB-J5tIMO_aOPnA,12,33.464864,-112.355064,"13766 West McDowell Road
Goodyear, AZ 85338",3.5,American (Traditional),Steakhouses,Seafood,Restaurants,,
Homegoods Store 0368,9i8cBclfNEerRhX4xdbQlQ,5,33.2639482,-111.8584494,"2875 S Alma School Road
Chandler, AZ 85248",4.5,Department Stores,Fashion,Shopping,,,
Circle K Stores,9BPYwkcrItZgnI9V0Cz7DQ,3,33.597169,-112.037281,"12201 N Cave Creek Road
Phoenix, AZ 85022",3,Food,Grocery,,,,
Allison's Texas BBQ,dzncF6n6MHJLXUo4_J6eig,25,33.416355,-111.685046,"6750 E Main St
Ste 101
Mesa, AZ 85205",4,Barbeque,Restaurants,,,,
Foothills Full Service Car Wash,Uj892z9R-BpyqoXKou8MUw,4,33.638127,-112.064351,"720 E Greenway Pkwy
Phoenix, AZ 85022",3,Car Wash,Automotive,,,,
Great Clips For Hair,Y-BtrSR6NebejB34_Z-oWQ,3,33.0690759,-112.0458143,"20928 S John Wayne Pkwy
Maricopa, AZ 85239",2.5,Hair Salons,Beauty & Spas,,,,
Harvest Design Group,B4tFDUC7yPjQlwI1Gtj8qg,3,33.4752675947,-112.0087051392,"N 37th Pl
Ste A
Phoenix, AZ 85008",5,Professional Services,Landscape Architects,Home Services,Architects,,
Mill Avenue Travel,9T7eOkHOjWfE21KxgPxo3Q,5,33.425938,-111.940346,"414 S Mill Ave
Ste 125
Tempe, AZ 85281",4.5,Hotels & Travel,Travel Services,,,,
Jack-In-the-Box,VZYMInkjRJVHwXVFqeoMWg,4,33.4853445,-112.0737081,"3215 N Central Ave
Phoenix, AZ 85012",3,Restaurants,,,,,
Starbucks  ,eZ__lE100vbxjg2iih39OA,7,33.581565,-112.200593,"6645 W Peoria Ave
Glendale, AZ 85302",3.5,Food,Coffee & Tea,,,,
Sprinkler World,tWZggyzTz--_agCKoW280Q,4,33.648478,-111.978742,"17826 N Tatum Boulevard
Phoenix, AZ 85032",4.5,Shopping,Home & Garden,,,,
Ace Hardware,hg2a2wk8VoCdkhxi6kr_pA,3,33.6566319,-112.3605717,"13850 W Camino Del Sol
Sun City West, AZ 85375",3.5,Hardware Stores,Shopping,Home & Garden,,,
La Quinta,yZ3U9mwpSOnArUBE767kxA,4,33.3857489,-111.692453,"6530 E Superstition Springs
Mesa, AZ 85206",3.5,Hotels & Travel,Event Planning & Services,Hotels,,,
Old Navy Clothing,wNJfatPwOnGtIKvSqvu1mQ,5,33.3196545,-111.983344,"4609 E Ray Rd
Phoenix, AZ 85044",4,Women's Clothing,Children's Clothing,Fashion,Shopping,Accessories,
Barneys New York,gMMAz-WbNpl_825lWbMnkw,19,33.493947,-111.922301,"Scottsdale Fashion Square
4500 N Scottsdale Rd
Scottsdale, AZ 85251",3.5,Fashion,Shopping,Beauty & Spas,Men's Clothing,Cosmetics & Beauty Supply,Women's Clothing
Ruby Tuesday,rRaiIoDbmPt1NzFxL_1vsA,14,33.4495327,-111.9868483,"4415 E Monroe St
Phoenix, AZ 85034",3,Seafood,Restaurants,,,,
Boleros At Seville,GavgziItjOIkqqf7zm5w3g,7,33.2233728,-111.7036797,"Seville Country Club
S Clubhouse Dr
Gilbert, AZ 85298",3.5,American (Traditional),Restaurants,,,,
Sam's Club,IxRxm34eehQ-Vx1qcsIAWg,4,33.638847,-112.092304,"1525 W Bell Rd
Phoenix, AZ 85073",4,Food,Grocery,,,,
Coco's Restaurant,2gMx4KnXbNtpoCuVCmyo3g,4,33.4797129,-111.981506,"4601 E Thomas Rd
Phoenix, AZ 85018",2,American (New),Restaurants,,,,
Las Brazas,WOcf7AiIRL_wkYAnEF-vcw,3,33.4814408,-112.0129072,"2950 N 32nd St
Phoenix, AZ 85018",4,Mexican,Restaurants,,,,
Dairy Queen,L6Qumi_rEtOAfX2FQXm06Q,3,33.626197,-112.186915,"5930 W Greenway Road
Suite 28
Glendale, AZ 85306",2.5,Restaurants,,,,,
Tempe Town Lake Boat Rentals,_tqUyEHN0pKnALyhY6BNFg,5,33.4295988,-111.9407222,"72 W Rio Salado Pkwy
Tempe, AZ 85281",3.5,Active Life,Boating,Rafting/Kayaking,,,
Michaels Arts & Crafts,CPaFYTecafyEqrmmI34ZBw,5,33.5980404,-111.9790497,"4727 E Cactus Rd
Phoenix, AZ 85032",3.5,Cards & Stationery,Arts & Crafts,Flowers & Gifts,Shopping,Event Planning & Services,
Chicken Noodle House,Yg__fykqkqsGaPnX5x9bBQ,10,33.413062,-111.875533,"66 S Dobson Rd
Ste 106
Mesa, AZ 85202",2,Vietnamese,Restaurants,,,,
De-Language Healing Arts,ThlaY1chEp6MjYZO7A6Slg,3,33.5737728,-111.9054892,"9619 N Hayden Rd
Ste 115
Scottsdale, AZ 85258",4.5,Massage,Beauty & Spas,,,,
Deno's Pizza,9Wy2CxVwnKoT5X4GrGzfyw,7,33.4945805,-112.3595377,"107 W Honeysuckle St
Litchfield Park, AZ 85340",3.5,Pizza,Restaurants,,,,
Greekfest Restaurant,KLaxBc83JnxyGf7GP7enYA,37,33.510225,-112.0394,"1940 E Camelback Rd
Phoenix, AZ 85016",3.5,Greek,Mediterranean,Restaurants,,,
Savers,Oz7KdqatjW3O01lwVbue_g,8,33.5238657,-112.1161565,"2625 W Bethany Home Rd
Phoenix, AZ 85017",4,"Used, Vintage & Consignment",Fashion,Shopping,,,
Happy Valley Towne Center,Vtvsp8rafwytaY_CBZhBcQ,4,33.7085241,-112.112914,"2501 W Happy Valley Rd
Phoenix, AZ 85027",4,Shopping,,,,,
America's Taco Shop,zSzE4rW9FE3fGqiEzZ91Vw,83,33.4219276,-111.9273071,"735 E University Dr
Tempe, AZ 85281",3.5,Mexican,Restaurants,,,,
Dunkin Donuts,0QrA-Klgp1R-GzUr6uJS7Q,19,33.304808,-111.977712,"4923 E Chandler Blvd
Phoenix, AZ 85048",3.5,Food,Donuts,,,,
"JW Marriott Desert Ridge Resort & Spa, Phoenix",jPhmaY35qGP2qNc68viXPg,98,33.683479,-111.966112,"5350 E Marriott Dr
Phoenix, AZ 85054",4,Day Spas,Hotels & Travel,Hotels,Event Planning & Services,Beauty & Spas,
Waffle House,K4VHuqUFwc4eeC8LkMLyTA,9,33.461919,-112.185806,"1237 N 59th Ave
Phoenix, AZ 85043",4,American (New),Restaurants,,,,
Del Taco,WEYEUvkonsZ8nOKZNXd87A,3,33.4146753,-111.8583107,"1255 W Main St
Mesa, AZ 85201",1.5,Mexican,Restaurants,,,,
Seoul Market,SsNGCAsXJpeUY3sS99XQpQ,6,33.566522,-112.151223,"8935 N 43rd Ave
Phoenix, AZ 85051",4,Food,Ethnic Food,Grocery,Specialty Food,,
Seville Family Physicians,VMikOENkXA8ezh6th0LkiQ,7,33.2345954983,-111.7178034782,"3336 E Chandler Heights Rd
Ste 101
Gilbert, AZ 85297",4,Doctors,Health & Medical,Family Practice,,,
Picazzos,sM7kdQ7lL7-oe3DNaJvGrQ,4,33.566109,-111.9244817,"8787 N Scottsdale Rd
Scottsdale, AZ 85253",3.5,Pizza,Restaurants,,,,
The Book Trader,I3TDRONsLNW4XOEzTbqlOA,4,33.6185341,-112.2913596,"14806 N Del Webb Blvd
Sun City, AZ 85301",4.5,"Books, Mags, Music & Video",Shopping,Bookstores,,,
Bed Bath & Beyond,rhxBsu0k_BddgjOP9MYdeA,8,33.5833003,-111.977784,"10845 N Tatum Blvd
Phoenix, AZ 85028",4,Kitchen & Bath,Shopping,Home & Garden,,,
Tep Grill To Go,6HzJOvPwMLLuGI4kYf4iZQ,3,33.492985,-112.286067,"10575 W. Indian School Rd. E-107
Avondale, AZ 85392",4.5,Japanese,Restaurants,,,,
Inside The Bungalow,bSFuJDDTj6BeKypgBNFBGg,59,33.4165461,-111.836832,"48 N Robson
Mesa, AZ 85201",4.5,Food,Active Life,Coffee & Tea,Yoga,Fitness & Instruction,
Burger King,tnHvCJ6kYQ1droyl_6Tg4Q,3,33.5535014,-112.1092265,"2318 W Northern Ave
Phoenix, AZ 85021",2,Burgers,Fast Food,Restaurants,,,
The Sweetness,4JNXVMjX33ruAyBMlU1_hQ,17,33.4593954,-112.0742496,"1020 N 1st Ave
Phoenix, AZ 85003",4.5,Food,Ice Cream & Frozen Yogurt,Desserts,,,
Pottery Barn Kids,50vp5JKtNeAubhPD9cmuHQ,6,33.305681,-111.897553,"3111 W Chandler Blvd
Chandler, AZ 85226",4.5,Shopping,Home & Garden,Furniture Stores,,,
Kfc,FqEsXFhkFKCfMiz_QqUKTA,7,33.4805423,-112.0832204,"2902 N 7th Ave
Phoenix, AZ 85013",2,Fast Food,Restaurants,,,,
Walmart,EisnS8lX8Ky9QmLMqYV57Q,3,33.5101439,-112.266274,"5010 N 95th Avenue
Glendale, AZ 85305",2.5,Department Stores,Grocery,Fashion,Shopping,Food,Mobile Phones
Pete's Fish & Chips,tcxNX3YiHNbaobEpPFyOtA,16,33.450171,-112.2605395,"9309 W Van Buren Street
Tolleson, AZ 85353",4,Seafood,Restaurants,,,,
Pavilions On Central,xuSsETlnlO3XFhlBGRZkTA,3,33.5013188,-112.0750147,"1 W Campbell Ave
Phoenix, AZ 85013",3.5,Home Services,Real Estate,Apartments,,,
Crossroads Park,EmWd7ZHgDgLDjtDmTtZq5w,3,33.3284207,-111.7412715,"2155 E. Knox Rd
Gilbert, AZ 85296",4.5,Active Life,Dog Parks,Parks,,,
Ross Store,JJI8KMFkb1UMUftSDajY_w,4,33.31081,-111.772012,"3831 S Gilbert Road
Gilbert, AZ 85296",4,,,,,,
N Control Driving School,xapMz1-hujB796Jb9v0mHA,3,33.3493799,-111.757246,"70 S Val Vista Dr
Ste A3-162
Gilbert, AZ 85296",5,Specialty Schools,Driving Schools,Education,,,
D'lish,EXtCgZoxHNjXrqPCFOgQmQ,27,33.4144553,-111.9207409,"1135 E Apache Blvd
Tempe, AZ 85281",4,Breakfast & Brunch,American (New),Fast Food,Restaurants,,
Edward Jones,MSRsILVe_vky_Nl53Kj7NQ,3,33.348162,-111.9819,"4747 E Elliot Rd
Ste 11
Phoenix, AZ 85044",5,Financial Services,Investing,Financial Advising,,,
Rx Formulations,0ROrgaauL7hmivzyd34iKA,3,33.422693,-111.702957,"5949 E University Dr
Mesa, AZ 85205",5,Shopping,Drugstores,,,,
Lenny's Burger Shop,reMYkuDhLk4raAviOFtvOQ,38,33.597474,-112.119087,"13616 N 35th Ave
Ste 1
Phoenix, AZ 85029",4,Burgers,Restaurants,,,,
Starbucks Coffee Co,gsNv5QNfuFnD8eMhejSmGg,8,33.3773856,-111.6358374,"2043 S Ellsworth Rd
Mesa, AZ 85212",2.5,Food,Coffee & Tea,,,,
Fountain Hills,bkPIVGLfmJO2LggSnBtTDQ,6,33.6007246204,-111.7151480913,"17004-17070 E El Lago Blvd
Fountain Hills, AZ 85268",4,Active Life,Playgrounds,Parks,,,
Kona Grill,fK7ujDbjhRFEe2D7eIwK4w,170,33.5025941,-111.9296765,"7014 E Camelback Rd
Fashion Square Mall
Scottsdale, AZ 85251",3.5,American (Traditional),Sushi Bars,Restaurants,,,
Entourage Nail Salon,FqFHdxyuKNrzWiBkEVvYOg,5,33.6432491,-112.2204806,"17550 N 75th Ave
Ste 32
Glendale, AZ 85308",5,Beauty & Spas,Nail Salons,,,,
Best Buy,voaUFqKOPS8H3Ms2Adf_gw,16,33.6398763,-112.2328389,"8290 W Bell Road
Glendale, AZ 85308",2,Shopping,Automotive,Computers,Home & Garden,Car Stereo Installation,Appliances
Snapfactory,fZas4ynqi0MKxyenlbzmig,3,33.397832,-111.998062,"3815 E Grove St
Ste 5
Phoenix, AZ 85040",5,Professional Services,Video/Film Production,,,,
Michael Pinta American Family Insurance,h7Db1FzhqlDLUzHHkWPhAw,3,33.3052504,-111.9380626,"5505 W Chandler Blvd
Ste 19
Chandler, AZ 85226",5,Financial Services,Insurance,,,,
Checker Auto Parts,ZRaXUcfEt7lY3Fv-5WcVRw,5,33.3616725,-111.9117004,"6470 S McClintock Drive
Tempe, AZ 85283",4,Automotive,,,,,
AMF Tempe Village Lanes,9mx6uFh_lSj6SOSW4fMWWg,23,33.384623,-111.92491,"4407 S Rural Rd
Tempe, AZ 85282",3.5,Active Life,Amusement Parks,Nightlife,Bowling,,
SakeBomber Sushi & Grill,PlcCjELzSI3SqX7mPF5cCw,90,33.407088,-111.911549,"1705 E Broadway Rd
Tempe, AZ 85282",3.5,Sushi Bars,Japanese,Restaurants,,,
L & L Hawaiian Barbecue,3u7-xGwUKyGHkSexwBd9Wg,28,33.384163,-111.803119,"1641 S Stapley Dr
Ste 103
Mesa, AZ 85204",4,Hawaiian,Restaurants,,,,
Phoenix Pride,kP2Kyoh1inEjznwNj5k-4g,16,33.4977808,-112.0697308,"300 E Indian School
Phoenix, AZ 85073",4,Arts & Entertainment,Festivals,,,,
Apple Spice Junction,tHztlek7Ecs-5ZonXUATyA,8,33.351358,-111.965949,"7425 S Harl Ave
Tempe, AZ 85283",3,Delis,Restaurants,Event Planning & Services,Caterers,,
Boba Juice,Qn8vxCWqe8FL_5MNcc4tpg,28,33.5039376,-112.0999146,"4550 N 19th Ave
Phoenix, AZ 85015",4.5,Food,Ice Cream & Frozen Yogurt,Coffee & Tea,Juice Bars & Smoothies,,
Bodega,3yNs4HBBk7kIDFBa3G9BrA,5,33.497828,-111.927267,"7125 E 5th Ave
Ste 16A
Scottsdale, AZ 85251",4,Food,Farmers Market,,,,
Coldstone Creamery,_0DvMQAs9KvA58Pf3Z4ltg,4,33.7110102,-112.1142778,"2501 W Happy Valley Road
Phoenix, AZ 85085",5,Food,Ice Cream & Frozen Yogurt,,,,
Mac Cosmetics,dkp49eYgIN8iqWcQDvqYmg,3,33.5991408,-111.9815612,"4610 E Cactus Road
Phoenix, AZ 85032",4.5,Shopping,Cosmetics & Beauty Supply,Beauty & Spas,,,
Over Coffee,-hWSt4JO2zT7zd7QzLZY9Q,6,33.6239817,-112.4159659,"16572 W Greenway Rd
Bldg C
Ste 101
Surprise, AZ 85388",4.5,Food,Coffee & Tea,,,,
Filiberto's,mms3-uX7mK42Hj8fJqsPfw,15,33.3062500838,-111.7601394653,"1397 E Williams Field Rd
Gilbert, AZ 85295",3.5,Mexican,Restaurants,,,,
SteakenBurger / Long Wongs,lPAHpSIc2MvY06bWxrFRiw,40,33.567258,-112.103575,"1961 W Dunlap Ave
Phoenix, AZ 85021",3.5,Burgers,Cheesesteaks,Chicken Wings,Restaurants,,
Shorty' Sliders & Steak Burgers,I4pSBXlKdR6assqRdVjtMg,9,33.5685840576,-112.1513020992,"9025 N 43rd Ave
Phoenix, AZ 85051",3,Burgers,Restaurants,,,,
Sky Harbor Airport Parking,U4IipLI4RsuBLmxTFEV2MQ,31,33.443995,-111.9957122,"402 S 40th St
Phoenix, AZ 85034",3,Automotive,Hotels & Travel,Transportation,Airport Shuttles,Parking,
Big Lots,BJBzsvaCQ2mo8CWfQ1jPiA,8,33.334024,-111.860544,"1988 N Alma School Road
Chandler, AZ 85224",3.5,Department Stores,Fashion,Shopping,,,
Evermore Nevermore,PQEdAHHbz5-WILZed1uZdQ,8,33.4150637,-111.8352744,"127 W Main St
Mesa, AZ 85210",5,Art Galleries,Arts & Entertainment,Fashion,Shopping,,
"Ish Patel, MD",NZ6_i3FmyUMp4hsSUrGXww,5,33.301377,-111.946065,"124 S Kyrene Rd
Chandler, AZ 85226",5,Doctors,Health & Medical,Pediatricians,,,
Cvs,LHwSUFdk1LZzbhSNYwoslw,4,33.865632,-112.135814,"3610 W Anthem Way
Anthem, AZ 85086",3,Shopping,Drugstores,,,,
Sonora Quest Laboratories,OCLv7SxKX7a46VIdMFpy8A,3,33.393499,-111.900051,"2000 E Southern Ave
Ste 101
Tempe, AZ 85282",2.5,Laboratory Testing,Diagnostic Services,Health & Medical,,,
Phoenix Scrapbook Store,DQNTPtaIjCzNFOUtYb3qRg,3,33.598282,-112.118429,"Inside the Brass Armadillo
12419 N 28th Dr
Phoenix, AZ 85029",4.5,Hobby Shops,Art Supplies,Shopping,Arts & Crafts,,
OZ Bar,BjznUPL2h5-vOkPHsnF40w,4,33.524457,-112.09844,"1804 W Bethany Home Rd
Phoenix, AZ 85015",4.5,Dive Bars,Bars,Gay Bars,Nightlife,,
Mando's Mexican Food,SqWx6Xc7UygGNQ2LtUCXsA,6,33.0690759,-112.0458143,"20928 N John Wayne Pkwy
Ste C8
Maricopa, AZ 85239",4.5,Mexican,Restaurants,,,,
Arizona Dyno Chip,Km5Cb21VRN9ZO9E8ZCYgyA,4,33.311379,-111.966963,"513 N 54th St
Ste 5
Chandler, AZ 85226",4,Auto Repair,Automotive,,,,
Bill Johnson's Big Apple Restaurants,v3VHHliT2rvWT0id5QiAgQ,3,33.4935146,-112.1219894,"2906 W. Fairmount Ave
Phoenix, AZ 85017",3.5,Steakhouses,Barbeque,Restaurants,,,
Active Body,7oq94zFeIx169iLXa268XA,6,33.585638,-111.926418,"10830 N Scottsdale Rd
Scottsdale, AZ 85254",3.5,Fashion,Shopping,Sporting Goods,Accessories,Women's Clothing,Sports Wear
Walgreens,znSVZNBgLrYw-VbrzOqAvA,3,33.640922,-111.995866,"4006 E Bell Rd
Phoenix, AZ 85032",3,Shopping,Drugstores,Beauty & Spas,Food,Convenience Stores,Cosmetics & Beauty Supply
Fry's Supermarket,tieXOBZlj01Hk_CR_sl0pg,3,33.316848,-112.005508,"3616 E Ray Rd
Phoenix, AZ 85044",3.5,Food,Grocery,,,,
Simply Bread,jyddpaCBtCq9wi5XN6ThOA,16,33.4709187,-112.0299803,"2117 N 24th St
Phoenix, AZ 85008",4,Bakeries,Food,,,,
Jacks All In Social Club,Ed3AoOwbS2mZZ9ZvUVwdbQ,4,33.5675402,-112.1499674,"4226 W Dunlap
Phoenix, AZ 85051",5,Arts & Entertainment,Casinos,Social Clubs,,,
99 Cent Only Stores,gbhsJG-0htzVWmmlvaBxqQ,3,33.4792051443,-111.9096779823,"7919 E Thomas Rd
Scottsdale, AZ 85251",4.5,Discount Store,Shopping,,,,
Feed My Starving Children,LnPB32-y2lU7cqGi8-Pn7w,4,33.3439601,-111.962545,"7965 S Priest Dr
Ste 106
Tempe, AZ 85284",5,Local Services,Community Service/Non-Profit,,,,
TQLA,Q5ZD7ZAs96NAVblFDV476g,31,33.381723,-111.754566,"1840 S Val Vista Dr
Mesa, AZ 85204",3.5,American (New),Mexican,Restaurants,,,
As You Wish Pottery Painting Place,7n3_Dg8SCgoPjKYjcp62QQ,3,33.38323,-111.8026941,"1649 S Stapley Drive
Mesa, AZ 85204",5,Arts & Crafts,Shopping,,,,
Ulta 3 Cosmetics,m4VY93kQDJsXoDrCfnoZZA,7,33.5384293,-111.8869336,"9019 E Indian Bend Rd
Scottsdale, AZ 85250",3,Shopping,Cosmetics & Beauty Supply,Beauty & Spas,,,
Gold Touch Jewelry,bJtDGnXafNcUboskJapNEQ,4,33.5990432,-111.9812072,"Paradise Valley Mall
4550 E Cactus Rd, Ste 206
Phoenix, AZ 85032",5,Local Services,Watch Repair,,,,
Lafitte's,jZGPpPUNM2xe4N8qS4Tu3w,15,33.6251754,-112.114885,"2577 W Greenway Rd
Phoenix, AZ 85023",3.5,Cajun/Creole,Restaurants,,,,
Local First Fall Festival,r0tvPoP73F9INWAEujiMPA,8,33.5091955,-112.0467378,"1651 E Camelback Rd
Phoenix, AZ 85016",5,Arts & Entertainment,Festivals,Local Flavor,,,
Cartridge World,0W9wB0UqefUrZrQh8i7o2Q,4,33.4797929,-111.9830363,"4539 East Thomas Rd
Ste 102
Phoenix, AZ 85018",4,Shopping,Office Equipment,,,,
Hibachi San,QpdkXudiqodRvbNh0tyjqA,5,33.641598,-112.225578,"7700 W Arrowhead Towne Ctr
Ste 2088
Glendale, AZ 85308",4,Japanese,Restaurants,,,,
Brickway Bagels,bc_nukU3dtZ6zGm4oXqeuA,4,33.412437,-111.857159,"120 S Alma School Rd
Mesa, AZ 85210",3.5,Food,Bagels,,,,
The Spa at Talking Stick Resort,ire64v4ZquitAVF2_KIPqA,9,33.5385706,-111.8656928,"9800 E Indian Bend Rd
Scottsdale, AZ 85256",4,Skin Care,Massage,Beauty & Spas,,,
Filiberto's Mexican Food,QSFR_s0iMuMC5_dvZqAURw,4,33.414658,-111.598499,"10749 E Apache Trl
Apache Junction, AZ 85220",2,Mexican,Restaurants,,,,
Life Cafe,tm-lmBXzrBeKUDj_eQVZYQ,6,33.3402863,-111.9647327,"Lifetime Fitness
1616 W Ruby Dr
Tempe, AZ 85284",4.5,Cafes,Restaurants,,,,
Cafe 24/7,rbCrkMS0bKqEOQg_fzpSVA,6,33.2811759,-111.9729996,"5040 Wild Horse Pass Blvd
Chandler, AZ 85048",1.5,Breakfast & Brunch,Restaurants,,,,
Half Moon Sports Grill,5tey93wPQOb7z6jOLJZ30w,54,33.637072,-112.071339,"288 E Greenway Pkwy
Ste 103
Phoenix, AZ 85022",3.5,Bars,Restaurants,Sports Bars,Nightlife,,
Van's Nail and Spa,TEg4RbspEzd8aDd4J1L6Tg,6,33.377234,-112.046105,"1635 E Baseline Rd
Phoenix, AZ 85042",2,Beauty & Spas,Nail Salons,,,,
Party City,C9hftUy7Tt7Nq_wNXgsc3A,5,33.429915,-111.874012,"821 N Dobson Rd
Mesa, AZ 85201",3.5,Party Supplies,Event Planning & Services,,,,
Manuel's Mexican Restaurant,DXBPI8rR9f_IthOGPDWoIQ,22,33.6026595,-112.0367284,"12801 N Cave Creek Rd
Phoenix, AZ 85022",4,Mexican,Restaurants,,,,
Louisiana Fried Chicken,M6SQ1dITqcuj-sAvg8_ITg,26,33.3778998,-112.0365448,"2070 E Baseline Rd
Ste 110
Phoenix, AZ 85042",4,Fast Food,Southern,Restaurants,,,
Ranch Plumbing,asPZR-B3clACNpKz9l12mg,3,33.76251,-111.935963,"6725 E Montgomery Rd
Scottsdale, AZ 85331",5,Plumbing,Home Services,,,,
